Time	Read	Base	SameRead	SameReadBase	UnfilteredRead	UnfilteredBase	Paired	Unpaired	AlConUni	AlConRep	AlConFail	AlDis	AlConFailUni	AlConFailRep	AlConFailFail	AlConRepUni	AlConRepRep	AlConRepFail	AlUnpUni	AlUnpRep	AlUnpFail	SeedSearch	NRange	NElt	IntraSCacheHit	InterSCacheHit	OutOfMemory	AlBWOp	AlBWBranch	ResBWOp	ResBWBranch	ResResolve	ResReport	RedundantSHit	BestMinEdit0	BestMinEdit1	BestMinEdit2	ExactAttempts	ExactSucc	ExactRanges	ExactRows	ExactOOMs	1mmAttempts	1mmSucc	1mmRanges	1mmRows	1mmOOMs	UngappedSucc	UngappedFail	UngappedNoDec	DPExLt10Gaps	DPExLt5Gaps	DPExLt3Gaps	DPMateLt10Gaps	DPMateLt5Gaps	DPMateLt3Gaps	DP16ExDps	DP16ExDpSat	DP16ExDpFail	DP16ExDpSucc	DP16ExCol	DP16ExCell	DP16ExInner	DP16ExFixup	DP16ExGathSol	DP16ExBt	DP16ExBtFail	DP16ExBtSucc	DP16ExBtCell	DP16ExCoreRej	DP16ExNRej	DP8ExDps	DP8ExDpSat	DP8ExDpFail	DP8ExDpSucc	DP8ExCol	DP8ExCell	DP8ExInner	DP8ExFixup	DP8ExGathSol	DP8ExBt	DP8ExBtFail	DP8ExBtSucc	DP8ExBtCell	DP8ExCoreRej	DP8ExNRej	DP16MateDps	DP16MateDpSat	DP16MateDpFail	DP16MateDpSucc	DP16MateCol	DP16MateCell	DP16MateInner	DP16MateFixup	DP16MateGathSol	DP16MateBt	DP16MateBtFail	DP16MateBtSucc	DP16MateBtCell	DP16MateCoreRej	DP16MateNRej	DP8MateDps	DP8MateDpSat	DP8MateDpFail	DP8MateDpSucc	DP8MateCol	DP8MateCell	DP8MateInner	DP8MateFixup	DP8MateGathSol	DP8MateBt	DP8MateBtFail	DP8MateBtSucc	DP8MateBtCell	DP8MateCoreRej	DP8MateNRej	DPBtFiltStart	DPBtFiltScore	DpBtFiltDom	
1611083248	269	86827	0	0	538	86827	269	0	0	0	269	0	0	0	538	0	0	0	0	0	0	9560	0	0	0	0	0	584	0	0	0	0	0	0	0	0	538	538	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1611083249	1087	349434	0	0	2174	349434	1087	0	4	0	1083	0	0	0	2166	0	0	0	0	0	0	38710	134	134	0	0	0	3993	0	387	0	15	15	6	2	4	2168	2174	2	2	2	0	6	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	1	4	870	141792	8862	29690	48	48	44	4	896	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	4	2170	391136	24446	49777	141	141	137	4	2425	0	0	0	0	0	
1611083250	960	314908	0	0	1920	314908	960	0	2	0	958	0	0	0	1916	0	0	0	0	0	0	34562	93	513	0	0	0	3394	0	1484	2	100	204	169	2	2	1916	1920	2	2	2	0	4	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	0	31	0	9199	2354944	147184	129680	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	2	975	142320	8895	22811	77	77	75	2	1067	0	0	0	0	0	
1611083251	720	232205	0	0	1440	232205	720	0	0	0	720	0	0	0	1440	0	0	0	0	0	0	25540	3	3	0	0	0	1751	0	15	0	3	3	0	0	0	1440	1440	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	3	0	604	88672	5542	13745	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1611083252	1008	330928	0	0	2016	330928	1008	0	0	0	1008	0	0	0	2016	0	0	0	0	0	0	36268	3	3	0	0	0	2334	0	8	0	2	3	0	0	0	2016	2016	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	3	0	452	62304	3894	10146	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1611083253	528	171260	0	0	1056	171260	528	0	1	0	527	0	0	0	1054	0	0	0	0	0	0	18938	36	112	0	0	0	1640	0	801	6	78	92	76	2	0	1054	1056	2	2	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	14	0	2304	322432	20152	45856	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	242	27104	1694	6601	26	26	25	1	330	0	0	0	0	0	
1611083254	560	184277	0	0	1120	184277	560	0	0	0	560	0	0	0	1120	0	0	0	0	0	0	20186	10	270	0	0	0	1555	0	386	0	54	94	79	0	0	1120	1120	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	15	0	4665	1194240	74640	77225	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1611083255	640	209148	0	0	1280	209148	640	0	1	0	639	0	0	0	1278	0	0	0	0	0	0	23056	37	193	0	0	0	1902	0	414	0	58	167	152	0	0	1280	1280	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	13	2	3976	918048	57378	73976	4	4	2	2	274	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	283	40752	2547	7029	2	2	1	1	137	0	0	0	0	0	
1611083255	6014	1955612	0	0	12028	1955612	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	215348	319	1231	0	0	0	17792	0	3497	8	312	581	482	6	6	12016	12028	6	6	6	0	12	4	4	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	89	0	83	6	22763	5212736	325796	392156	52	52	46	6	1170	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	8	3670	601312	37582	86218	246	246	238	8	3959	0	0	0	0	0	
